,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
406,33,CLE,Joe Harris,Virginia,8,414,10601,4584,1344,679,.483,.439,.780,25.6,11.1,3.2,1.6,20.6,.093,-0.6,3.9
407,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
408,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
409,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
410,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
411,38,DET,Spencer Dinwiddie,Colorado,8,351,9161,4530,1038,1762,.408,.320,.793,26.1,12.9,3.0,5.0,19.9,.104,0.3,5.2
412,39,PHI,Jerami Grant,Syracuse,8,532,13751,5907,2114,698,.453,.346,.717,25.8,11.1,4.0,1.3,27.0,.094,-0.5,5.1
413,40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4
414,41,DEN,Nikola Jokić,,7,486,14621,9213,4905,2927,.536,.348,.829,30.1,19.0,10.1,6.0,70.5,.232,8.4,38.4
415,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
416,43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
417,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
418,45,CHH,Dwight Powell,Stanford,8,469,8735,3494,2129,472,.571,.299,.743,18.6,7.4,4.5,1.0,33.0,.181,1.2,7.2
419,46,WAS,Jordan Clarkson,Missouri,8,560,15052,8539,1831,1419,.439,.340,.825,26.9,15.2,3.3,2.5,19.5,.062,-0.5,5.6
420,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1
421,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
