,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
686,5,CLE,Darius Garland,Vanderbilt,3,141,4573,2201,324,764,.436,.378,.868,32.4,15.6,2.3,5.4,2.4,.025,-2.6,-0.7
687,6,PHO,Jarrett Culver,Texas Tech,3,108,2106,809,333,148,.412,.287,.503,19.5,7.5,3.1,1.4,0.1,.003,-4.4,-1.3
688,7,CHI,Coby White,UNC,3,143,3988,1955,537,515,.404,.352,.842,27.9,13.7,3.8,3.6,3.1,.037,-2.9,-0.9
689,8,ATL,Jaxson Hayes,Texas,3,144,2278,1033,580,96,.629,.379,.703,15.8,7.2,4.0,0.7,8.0,.168,-0.3,1.0
690,9,WAS,Rui Hachimura,Gonzaga,2,105,3241,1438,606,169,.473,.313,.797,30.9,13.7,5.8,1.6,3.9,.058,-3.3,-1.1
691,10,ATL,Cam Reddish,Duke,3,108,2844,1172,384,144,.384,.323,.828,26.3,10.9,3.6,1.3,0.8,.013,-3.6,-1.2
692,11,MIN,Cameron Johnson,UNC,3,145,3374,1363,491,190,.426,.376,.817,23.3,9.4,3.4,1.3,6.9,.099,0.0,1.7
693,12,CHO,P.J. Washington,Kentucky,3,139,4146,1715,825,321,.449,.387,.698,29.8,12.3,5.9,2.3,5.6,.064,-1.2,0.8
694,13,MIA,Tyler Herro,Kentucky,3,134,3965,2066,623,397,.435,.376,.841,29.6,15.4,4.6,3.0,4.0,.049,-1.4,0.6
695,14,BOS,Romeo Langford,Indiana,3,72,1055,244,146,39,.382,.302,.720,14.7,3.4,2.0,0.5,0.8,.035,-4.2,-0.6
696,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.012,-6.6,-1.9
697,16,ORL,Chuma Okeke,Auburn,2,68,1621,498,272,129,.392,.298,.797,23.8,7.3,4.0,1.9,1.1,.032,-2.4,-0.2
698,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,123,2445,1179,344,269,.388,.333,.717,19.9,9.6,2.8,2.2,0.5,.010,-3.0,-0.6
699,18,IND,Goga Bitadze,,3,117,1179,448,298,63,.425,.218,.721,10.1,3.8,2.5,0.5,2.3,.093,-2.1,0.0
700,19,SAS,Luka Šamanić,,2,36,356,138,78,21,.430,.294,.576,9.9,3.8,2.2,0.6,0.1,.015,-5.0,-0.3
701,20,BOS,Matisse Thybulle,Washington,3,153,3140,686,280,165,.429,.325,.597,20.5,4.5,1.8,1.1,5.8,.089,0.8,2.2
702,21,OKC,Brandon Clarke,Gonzaga,3,136,3019,1457,756,202,.571,.289,.718,22.2,10.7,5.6,1.5,10.5,.167,2.1,3.1
703,22,BOS,Grant Williams,Tennessee,3,160,2799,740,450,161,.445,.359,.704,17.5,4.6,2.8,1.0,4.5,.077,-2.7,-0.5
704,23,UTA,Darius Bazley,,3,143,3584,1326,812,175,.391,.304,.689,25.1,9.3,5.7,1.2,0.1,.001,-3.4,-1.2
705,24,PHI,Ty Jerome,Virginia,3,86,1416,599,160,190,.411,.363,.785,16.5,7.0,1.9,2.2,1.6,.055,-1.5,0.2
706,25,POR,Nassir Little,UNC,3,121,1787,606,365,66,.460,.307,.735,14.8,5.0,3.0,0.5,2.9,.077,-2.7,-0.3
707,26,CLE,Dylan Windler,Belmont,2,50,709,213,140,51,.439,.349,.774,14.2,4.3,2.8,1.0,1.0,.065,-1.7,0.1
708,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,.388,.314,.840,6.7,2.7,1.4,0.4,0.4,.054,-3.3,-0.1
709,28,GSW,Jordan Poole,Michigan,3,136,3122,1615,306,329,.399,.322,.859,23.0,11.9,2.3,2.4,3.1,.047,-3.1,-0.9
710,29,SAS,Keldon Johnson,Kentucky,3,112,3066,1418,627,183,.487,.383,.724,27.4,12.7,5.6,1.6,5.7,.089,-1.6,0.3
711,30,MIL,Kevin Porter Jr.,USC,3,95,2571,1173,345,383,.417,.319,.702,27.1,12.3,3.6,4.0,-0.4,-.007,-4.1,-1.4
714,31,BRK,Nicolas Claxton,Georgia,3,58,985,357,260,49,.618,.167,.500,17.0,6.2,4.5,0.8,3.0,.146,-0.3,0.4
715,32,PHO,KZ Okpala,Stanford,3,58,636,143,104,30,.385,.247,.600,11.0,2.5,1.8,0.5,0.5,.039,-5.8,-0.6
716,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,.372,.302,.750,9.2,3.6,1.1,0.6,0.4,.030,-4.7,-0.4
717,34,PHI,Bruno Fernando,Maryland,3,97,957,295,278,60,.500,.128,.603,9.9,3.0,2.9,0.6,0.7,.035,-5.0,-0.7
718,35,ATL,Didi Louzada,,2,5,63,8,5,4,.188,.182,,12.6,1.6,1.0,0.8,-0.2,-.117,-10.2,-0.1
719,36,CHO,Cody Martin,Nevada,3,128,2525,704,445,253,.457,.333,.656,19.7,5.5,3.5,2.0,4.0,.076,-1.2,0.5
720,37,DAL,Deividas Sirvydis,,1,20,133,41,29,5,.350,.357,.500,6.7,2.1,1.5,0.3,0.0,-.010,-5.6,-0.1
721,38,CHI,Daniel Gafford,Arkansas,3,124,1973,840,506,77,.683,,.642,15.9,6.8,4.1,0.6,7.6,.185,1.2,1.6
722,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.4,-0.1
723,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.2,-0.2
724,41,GSW,Eric Paschall,Villanova,3,123,2593,1295,444,192,.492,.300,.751,21.1,10.5,3.6,1.6,3.5,.064,-2.8,-0.5
725,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
726,43,MIN,Jaylen Nowell,Washington,3,71,1006,478,120,96,.411,.300,.829,14.2,6.7,1.7,1.4,1.0,.046,-3.1,-0.3
727,44,MIA,Bol Bol,Oregon,3,50,298,124,57,17,.451,.361,.679,6.0,2.5,1.1,0.3,0.2,.029,-3.2,-0.1
728,45,DET,Isaiah Roby,Nebraska,3,77,1600,616,378,117,.486,.298,.754,20.8,8.0,4.9,1.5,1.6,.049,-3.3,-0.5
729,46,ORL,Talen Horton-Tucker,Iowa State,3,86,1817,788,244,230,.446,.283,.778,21.1,9.2,2.8,2.7,2.7,.072,-1.7,0.1
730,47,SAC,Ignas Brazdeikis,Michigan,3,35,412,132,68,27,.360,.273,.760,11.8,3.8,1.9,0.8,-0.2,-.018,-6.9,-0.5
731,48,LAC,Terance Mann,Florida State,3,136,2414,844,452,221,.491,.388,.792,17.8,6.2,3.3,1.6,6.5,.129,-0.8,0.7
732,49,SAS,Quinndary Weatherspoon,Mississippi State,2,31,199,58,18,19,.404,.182,.778,6.4,1.9,0.6,0.6,-0.1,-.014,-6.0,-0.2
733,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,.438,.366,.750,6.3,2.4,1.3,0.7,0.5,.099,-0.6,0.1
734,51,BOS,Tremont Waters,LSU,2,37,357,139,33,78,.361,.306,.960,9.6,3.8,0.9,2.1,0.1,.019,-2.3,0.0
735,52,CHO,Jalen McDaniels,San Diego State,3,86,1561,570,316,88,.481,.369,.697,18.2,6.6,3.7,1.0,2.4,.074,-2.9,-0.4
736,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
737,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
738,55,NYK,Kyle Guy,Virginia,2,34,245,91,36,33,.333,.265,.800,7.2,2.7,1.1,1.0,-0.1,-.016,-6.6,-0.3
739,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
740,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
741,58,GSW,Miye Oni,Yale,3,78,669,145,106,37,.355,.336,.750,8.6,1.9,1.4,0.5,1.0,.073,-2.8,-0.1
742,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
743,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
